Episode,Time_step,Episode_timesteps,Reward,Eps_greedy_val,Mean_Reward,Mean_Episode_timesteps
1,1200,1200,0.0,0.9983666666666666,0.34,1001.57
2,1832,632,1.0,0.9975064444444445,0.34,1001.57
3,3032,1200,0.0,0.9958731111111111,0.34,1001.57
4,4232,1200,0.0,0.9942397777777778,0.34,1001.57
5,5432,1200,0.0,0.9926064444444445,0.34,1001.57
6,6632,1200,0.0,0.9909731111111111,0.34,1001.57
7,7832,1200,0.0,0.9893397777777778,0.34,1001.57
8,7921,89,1.0,0.9892186388888888,0.34,1001.57
9,9121,1200,0.0,0.9875853055555556,0.34,1001.57
10,10321,1200,0.0,0.9859519722222222,0.34,1001.57
11,11179,858,1.0,0.9847841388888889,0.34,1001.57
12,12379,1200,0.0,0.9831508055555556,0.34,1001.57
13,13275,896,1.0,0.98193125,0.34,1001.57
14,14475,1200,0.0,0.9802979166666667,0.34,1001.57
15,15675,1200,0.0,0.9786645833333333,0.34,1001.57
16,16875,1200,0.0,0.97703125,0.34,1001.57
17,17608,733,1.0,0.9760335555555556,0.34,1001.57
18,18808,1200,0.0,0.9744002222222222,0.34,1001.57
19,20008,1200,0.0,0.9727668888888888,0.34,1001.57
20,21208,1200,0.0,0.9711335555555556,0.34,1001.57
21,22408,1200,0.0,0.9695002222222222,0.34,1001.57
22,22434,26,1.0,0.9694648333333333,0.34,1001.57
23,23079,645,1.0,0.9685869166666666,0.34,1001.57
24,24279,1200,0.0,0.9669535833333334,0.34,1001.57
25,25479,1200,0.0,0.96532025,0.34,1001.57
26,26679,1200,0.0,0.9636869166666666,0.34,1001.57
27,27806,1127,1.0,0.9621529444444444,0.34,1001.57
28,28801,995,1.0,0.960798638888889,0.34,1001.57
29,30001,1200,0.0,0.9591653055555556,0.34,1001.57
30,31201,1200,0.0,0.9575319722222222,0.34,1001.57
31,32401,1200,0.0,0.9558986388888889,0.34,1001.57
32,33601,1200,0.0,0.9542653055555556,0.34,1001.57
33,34669,1068,1.0,0.9528116388888889,0.34,1001.57
34,35383,714,1.0,0.9518398055555556,0.34,1001.57
35,36583,1200,0.0,0.9502064722222222,0.34,1001.57
36,37452,869,1.0,0.9490236666666667,0.34,1001.57
37,38652,1200,0.0,0.9473903333333333,0.34,1001.57
38,39363,711,1.0,0.9464225833333333,0.34,1001.57
39,40563,1200,0.0,0.94478925,0.34,1001.57
40,41763,1200,0.0,0.9431559166666666,0.34,1001.57
41,42963,1200,0.0,0.9415225833333334,0.34,1001.57
42,44163,1200,0.0,0.93988925,0.34,1001.57
43,45363,1200,0.0,0.9382559166666666,0.34,1001.57
44,45762,399,1.0,0.9377128333333333,0.34,1001.57
45,46962,1200,0.0,0.9360795,0.34,1001.57
46,47598,636,1.0,0.9352138333333333,0.34,1001.57
47,48798,1200,0.0,0.9335805,0.34,1001.57
48,49033,235,1.0,0.9332606388888889,0.34,1001.57
49,50233,1200,0.0,0.9316273055555555,0.34,1001.57
50,50905,672,1.0,0.9307126388888889,0.34,1001.57
51,52105,1200,0.0,0.9290793055555555,0.34,1001.57
52,53189,1084,1.0,0.9276038611111111,0.34,1001.57
53,54389,1200,0.0,0.9259705277777778,0.34,1001.57
54,55589,1200,0.0,0.9243371944444445,0.34,1001.57
55,56789,1200,0.0,0.9227038611111111,0.34,1001.57
56,57989,1200,0.0,0.9210705277777778,0.34,1001.57
57,59189,1200,0.0,0.9194371944444445,0.34,1001.57
58,60389,1200,0.0,0.9178038611111111,0.34,1001.57
59,61154,765,1.0,0.9167626111111111,0.34,1001.57
60,61559,405,1.0,0.9162113611111111,0.34,1001.57
61,61918,359,1.0,0.9157227222222222,0.34,1001.57
62,63118,1200,0.0,0.9140893888888889,0.34,1001.57
63,63664,546,1.0,0.9133462222222222,0.34,1001.57
64,64864,1200,0.0,0.9117128888888889,0.34,1001.57
65,66064,1200,0.0,0.9100795555555555,0.34,1001.57
66,67264,1200,0.0,0.9084462222222223,0.34,1001.57
67,68464,1200,0.0,0.9068128888888889,0.34,1001.57
68,69664,1200,0.0,0.9051795555555555,0.34,1001.57
69,70864,1200,0.0,0.9035462222222223,0.34,1001.57
70,72064,1200,0.0,0.9019128888888889,0.34,1001.57
71,73264,1200,0.0,0.9002795555555556,0.34,1001.57
72,74083,819,1.0,0.8991648055555556,0.34,1001.57
73,75283,1200,0.0,0.8975314722222222,0.34,1001.57
74,75499,216,1.0,0.8972374722222223,0.34,1001.57
75,76699,1200,0.0,0.8956041388888889,0.34,1001.57
76,77899,1200,0.0,0.8939708055555555,0.34,1001.57
77,79099,1200,0.0,0.8923374722222223,0.34,1001.57
78,80299,1200,0.0,0.8907041388888889,0.34,1001.57
79,81499,1200,0.0,0.8890708055555555,0.34,1001.57
80,82524,1025,1.0,0.8876756666666666,0.34,1001.57
81,83724,1200,0.0,0.8860423333333334,0.34,1001.57
82,84188,464,1.0,0.8854107777777778,0.34,1001.57
83,85388,1200,0.0,0.8837774444444444,0.34,1001.57
84,86588,1200,0.0,0.8821441111111111,0.34,1001.57
85,86922,334,1.0,0.8816895,0.34,1001.57
86,87063,141,1.0,0.8814975833333334,0.34,1001.57
87,87654,591,1.0,0.8806931666666666,0.34,1001.57
88,88854,1200,0.0,0.8790598333333334,0.34,1001.57
89,90054,1200,0.0,0.8774265,0.34,1001.57
90,90494,440,1.0,0.8768276111111111,0.34,1001.57
91,91694,1200,0.0,0.8751942777777778,0.34,1001.57
92,92311,617,1.0,0.8743544722222223,0.34,1001.57
93,93511,1200,0.0,0.8727211388888889,0.34,1001.57
94,94146,635,1.0,0.8718568333333333,0.34,1001.57
95,95346,1200,0.0,0.8702235,0.34,1001.57
96,96546,1200,0.0,0.8685901666666667,0.34,1001.57
97,97746,1200,0.0,0.8669568333333333,0.34,1001.57
98,98519,773,1.0,0.8659046944444444,0.34,1001.57
99,98957,438,1.0,0.8653085277777778,0.34,1001.57
100,100157,1200,0.0,0.8636751944444445,0.34,1001.57
101,101357,1200,0.0,0.8620418611111111,0.34,1001.57
102,102557,1200,0.0,0.8604085277777778,0.34,1001.57
103,103661,1104,1.0,0.8589058611111111,0.33,1007.25
104,104471,810,1.0,0.8578033611111111,0.34,1006.29
105,105671,1200,0.0,0.8561700277777777,0.35,1002.39
106,106871,1200,0.0,0.8545366944444445,0.35,1002.39
107,107098,227,1.0,0.8542277222222222,0.35,1002.39
108,108298,1200,0.0,0.8525943888888889,0.36,992.66
109,109005,707,1.0,0.8516320833333333,0.35,1003.77
110,109453,448,1.0,0.8510223055555556,0.36,998.84
111,110653,1200,0.0,0.8493889722222222,0.37,991.32
112,111490,837,1.0,0.8482497222222223,0.36,994.74
113,111588,98,1.0,0.8481163333333334,0.37,991.11
114,112788,1200,0.0,0.846483,0.37,983.13
115,113464,676,1.0,0.8455628888888889,0.37,983.13
116,114085,621,1.0,0.8447176388888888,0.38,977.89
117,114951,866,1.0,0.8435389166666667,0.39,972.1
118,115688,737,1.0,0.8425357777777778,0.39,973.43
119,115733,45,1.0,0.8424745277777778,0.4,968.8
120,116299,566,1.0,0.8417041388888888,0.41,957.25
121,116886,587,1.0,0.8409051666666667,0.42,950.91
122,117034,148,1.0,0.8407037222222222,0.43,944.78
123,118234,1200,0.0,0.8390703888888889,0.43,946.0
124,118586,352,1.0,0.8385912777777778,0.42,951.55
125,118925,339,1.0,0.8381298611111111,0.43,943.07
126,120125,1200,0.0,0.8364965277777778,0.44,934.46
127,120179,54,1.0,0.8364230277777778,0.44,934.46
128,120502,323,1.0,0.8359833888888889,0.44,923.73
129,120980,478,1.0,0.8353327777777778,0.44,917.01
130,121698,718,1.0,0.8343555,0.45,909.79
131,122487,789,1.0,0.8332815833333334,0.46,904.97
132,123379,892,1.0,0.8320674722222222,0.47,900.86
133,123740,361,1.0,0.8315761111111111,0.48,897.78
134,124940,1200,0.0,0.8299427777777778,0.48,890.71
135,125237,297,1.0,0.8295385277777778,0.47,895.57
136,125306,69,1.0,0.8294446111111111,0.48,886.54
137,126506,1200,0.0,0.8278112777777777,0.48,878.54
138,127706,1200,0.0,0.8261779444444445,0.48,878.54
139,128906,1200,0.0,0.8245446111111111,0.47,883.43
140,129377,471,1.0,0.8239035277777778,0.47,883.43
141,129738,361,1.0,0.8234121666666667,0.48,876.14
142,130140,402,1.0,0.822865,0.49,867.75
143,131340,1200,0.0,0.8212316666666667,0.5,859.77
144,131773,433,1.0,0.8206423055555556,0.5,859.77
145,132280,507,1.0,0.8199522222222222,0.5,860.11
146,132876,596,1.0,0.819141,0.51,853.18
147,133954,1078,1.0,0.8176737222222222,0.51,852.78
148,134110,156,1.0,0.8174613888888889,0.52,851.56
149,135310,1200,0.0,0.8158280555555556,0.52,850.77
150,135439,129,1.0,0.8156524722222223,0.52,850.77
151,135668,229,1.0,0.8153407777777778,0.52,845.34
152,136031,363,1.0,0.8148466944444445,0.53,835.63
153,136433,402,1.0,0.8142995277777778,0.53,828.42
154,136570,137,1.0,0.8141130555555556,0.54,820.44
155,136629,59,1.0,0.81403275,0.55,809.81
156,137133,504,1.0,0.81334675,0.56,798.4
157,138333,1200,0.0,0.8117134166666666,0.57,791.44
158,138458,125,1.0,0.8115432777777778,0.57,791.44
159,138618,160,1.0,0.8113255,0.58,780.69
160,139005,387,1.0,0.81079875,0.58,774.64
161,140205,1200,0.0,0.8091654166666666,0.58,774.46
162,141405,1200,0.0,0.8075320833333334,0.57,782.87
163,142605,1200,0.0,0.80589875,0.57,782.87
164,142679,74,1.0,0.8057980277777778,0.56,789.41
165,143879,1200,0.0,0.8041646944444445,0.57,778.15
166,144234,355,1.0,0.8036814999999999,0.57,778.15
167,144327,93,1.0,0.8035549166666667,0.58,769.7
168,144780,453,1.0,0.8029383333333333,0.59,758.63
169,145149,369,1.0,0.8024360833333333,0.6,751.16
170,145211,62,1.0,0.8023516944444444,0.61,742.85
171,145740,529,1.0,0.8016316666666667,0.62,731.47
172,146940,1200,0.0,0.7999983333333334,0.63,724.76
173,147726,786,1.0,0.7989285,0.62,728.57
174,147792,66,1.0,0.7988386666666667,0.63,724.43
175,148992,1200,0.0,0.7972053333333333,0.63,722.93
176,150192,1200,0.0,0.795572,0.63,722.93
177,150640,448,1.0,0.7949622222222222,0.63,722.93
178,150919,279,1.0,0.7945824722222222,0.64,715.41
179,151156,237,1.0,0.7942598888888889,0.65,706.2
180,151249,93,1.0,0.7941333055555555,0.66,696.57
181,151578,329,1.0,0.7936855,0.66,687.25
182,152053,475,1.0,0.7930389722222222,0.67,678.54
183,153253,1200,0.0,0.7914056388888889,0.67,678.65
184,153796,543,1.0,0.7906665555555555,0.67,678.65
185,153841,45,1.0,0.7906053055555555,0.68,672.08
186,154370,529,1.0,0.7898852777777778,0.68,669.19
187,155570,1200,0.0,0.7882519444444445,0.68,673.07
188,155680,110,1.0,0.7881022222222223,0.67,679.16
189,156411,731,1.0,0.78710725,0.68,668.26
190,156792,381,1.0,0.7865886666666667,0.69,663.57
191,156964,172,1.0,0.7863545555555556,0.69,662.98
