Episode,Time_step,Episode_timesteps,Reward,Eps_greedy_val,Mean_Reward,Mean_Episode_timesteps
1,281,281,1.0,0.9997960148148148,0.57,839.11
2,1481,1200,0.0,0.9989249037037037,0.57,839.11
3,2681,1200,0.0,0.9980537925925926,0.57,839.11
4,3229,548,1.0,0.9976559851851852,0.57,839.11
5,4429,1200,0.0,0.9967848740740741,0.57,839.11
6,4735,306,1.0,0.9965627407407407,0.57,839.11
7,5935,1200,0.0,0.9956916296296296,0.57,839.11
8,6661,726,1.0,0.9951646074074074,0.57,839.11
9,7438,777,1.0,0.994600562962963,0.57,839.11
10,7989,551,1.0,0.9942005777777778,0.57,839.11
11,8527,538,1.0,0.9938100296296296,0.57,839.11
12,9212,685,1.0,0.9933127703703704,0.57,839.11
13,10412,1200,0.0,0.9924416592592593,0.57,839.11
14,11612,1200,0.0,0.9915705481481482,0.57,839.11
15,12491,879,1.0,0.9909324592592592,0.57,839.11
16,13691,1200,0.0,0.9900613481481482,0.57,839.11
17,13975,284,1.0,0.9898551851851852,0.57,839.11
18,15175,1200,0.0,0.9889840740740741,0.57,839.11
19,16375,1200,0.0,0.9881129629629629,0.57,839.11
20,17575,1200,0.0,0.9872418518518519,0.57,839.11
21,17706,131,1.0,0.9871467555555555,0.57,839.11
22,18906,1200,0.0,0.9862756444444445,0.57,839.11
23,19304,398,1.0,0.985986725925926,0.57,839.11
24,20504,1200,0.0,0.9851156148148148,0.57,839.11
25,21704,1200,0.0,0.9842445037037038,0.57,839.11
26,22359,655,1.0,0.9837690222222222,0.57,839.11
27,22686,327,1.0,0.9835316444444444,0.57,839.11
28,23886,1200,0.0,0.9826605333333334,0.57,839.11
29,24618,732,1.0,0.9821291555555556,0.57,839.11
30,25818,1200,0.0,0.9812580444444444,0.57,839.11
31,27018,1200,0.0,0.9803869333333334,0.57,839.11
32,28218,1200,0.0,0.9795158222222222,0.57,839.11
33,29010,792,1.0,0.9789408888888889,0.57,839.11
34,29239,229,1.0,0.9787746518518519,0.57,839.11
35,29976,737,1.0,0.9782396444444444,0.57,839.11
36,31176,1200,0.0,0.9773685333333333,0.57,839.11
37,32376,1200,0.0,0.9764974222222222,0.57,839.11
38,33539,1163,1.0,0.9756531703703704,0.57,839.11
39,34010,471,1.0,0.9753112592592592,0.57,839.11
40,34417,407,1.0,0.9750158074074075,0.57,839.11
41,35617,1200,0.0,0.9741446962962963,0.57,839.11
42,36817,1200,0.0,0.9732735851851851,0.57,839.11
43,37817,1000,1.0,0.9725476592592592,0.57,839.11
44,39017,1200,0.0,0.9716765481481482,0.57,839.11
45,39142,125,1.0,0.9715858074074074,0.57,839.11
46,40326,1184,1.0,0.9707263111111111,0.57,839.11
47,41526,1200,0.0,0.9698552,0.57,839.11
48,41778,252,1.0,0.9696722666666666,0.57,839.11
49,42763,985,1.0,0.9689572296296296,0.57,839.11
50,42820,57,1.0,0.9689158518518518,0.57,839.11
51,43680,860,1.0,0.9682915555555556,0.57,839.11
52,44250,570,1.0,0.9678777777777777,0.57,839.11
53,45326,1076,1.0,0.9670966814814814,0.57,839.11
54,46194,868,1.0,0.9664665777777778,0.57,839.11
55,46821,627,1.0,0.9660114222222222,0.57,839.11
56,47059,238,1.0,0.9658386518518518,0.57,839.11
57,48153,1094,1.0,0.9650444888888889,0.57,839.11
58,49353,1200,0.0,0.9641733777777778,0.57,839.11
59,50165,812,1.0,0.9635839259259259,0.57,839.11
60,51365,1200,0.0,0.9627128148148149,0.57,839.11
61,52565,1200,0.0,0.9618417037037037,0.57,839.11
62,53454,889,1.0,0.9611963555555556,0.57,839.11
63,54462,1008,1.0,0.9604646222222222,0.57,839.11
64,55323,861,1.0,0.9598396,0.57,839.11
65,55591,268,1.0,0.9596450518518519,0.57,839.11
66,56791,1200,0.0,0.9587739407407407,0.57,839.11
67,57991,1200,0.0,0.9579028296296296,0.57,839.11
68,58576,585,1.0,0.957478162962963,0.57,839.11
69,58974,398,1.0,0.9571892444444444,0.57,839.11
70,60174,1200,0.0,0.9563181333333334,0.57,839.11
