Episode,Time_step,Episode_timesteps,Mean_Episode_timesteps,Reward,Mean_Reward,CuriosityReward,Mean_curiosity_reward,Eps_greedy_val
1,579,579,579.0,1.0,1.0,6.715999999999984,6.715999999999984,0.9999099333333333
2,1592,1013,796.0,1.0,1.0,11.961999999999922,9.338999999999952,0.9997523555555555
3,2792,1200,930.6666666666666,0.0,0.6666666666666666,13.521999999999867,10.733333333333258,0.9995656888888889
4,3992,1200,998.0,0.0,0.5,14.62999999999987,11.70749999999991,0.9993790222222222
5,4044,52,808.8,1.0,0.6,0.5790000000000003,9.481799999999929,0.9993709333333334
6,5230,1186,871.6666666666666,1.0,0.6666666666666666,13.11799999999991,10.08783333333326,0.9991864444444445
7,6029,799,861.2857142857143,1.0,0.7142857142857143,9.106999999999935,9.947714285714213,0.9990621555555556
8,6930,901,866.25,1.0,0.75,10.913999999999904,10.068499999999924,0.998922
9,8130,1200,903.3333333333334,0.0,0.6666666666666666,14.284999999999885,10.536999999999919,0.9987353333333333
10,8805,675,880.5,1.0,0.7,7.090999999999969,10.192399999999925,0.9986303333333333
11,9768,963,888.0,1.0,0.7272727272727273,9.420999999999967,10.122272727272655,0.9984805333333333
12,10967,1199,913.9166666666666,1.0,0.75,11.510999999999912,10.237999999999927,0.9982940222222222
13,11143,176,857.1538461538462,1.0,0.7692307692307693,2.0369999999999973,9.607153846153777,0.9982666444444445
14,11723,580,837.3571428571429,1.0,0.7857142857142857,6.223999999999982,9.365499999999935,0.9981764222222222
15,12569,846,837.9333333333333,1.0,0.8,8.59699999999998,9.314266666666605,0.9980448222222222
16,13769,1200,860.5625,0.0,0.75,11.68899999999993,9.462687499999937,0.9978581555555556
17,14969,1200,880.5294117647059,0.0,0.7058823529411765,12.033999999999862,9.61394117647052,0.9976714888888889
18,15844,875,880.2222222222222,1.0,0.7222222222222222,8.028999999999977,9.525888888888822,0.9975353777777778
19,16530,686,870.0,1.0,0.7368421052631579,6.4839999999999876,9.365789473684147,0.9974286666666666
20,17730,1200,886.5,0.0,0.7,12.606999999999838,9.527849999999932,0.997242
21,18930,1200,901.4285714285714,0.0,0.6666666666666666,10.761999999999913,9.586619047618978,0.9970553333333333
22,20102,1172,913.7272727272727,1.0,0.6818181818181818,11.74299999999987,9.684636363636292,0.9968730222222222
23,21302,1200,926.1739130434783,0.0,0.6521739130434783,10.13899999999993,9.704391304347753,0.9966863555555555
24,22502,1200,937.5833333333334,0.0,0.625,10.41199999999991,9.733874999999928,0.9964996888888888
25,23642,1140,945.68,1.0,0.64,8.861999999999968,9.69899999999993,0.9963223555555556
26,24842,1200,955.4615384615385,0.0,0.6153846153846154,11.718999999999888,9.776692307692237,0.9961356888888889
27,25808,966,955.8518518518518,1.0,0.6296296296296297,7.863999999999974,9.705851851851783,0.9959854222222222
28,26620,812,950.7142857142857,1.0,0.6428571428571429,7.589999999999995,9.630285714285646,0.9958591111111111
29,27820,1200,959.3103448275862,0.0,0.6206896551724138,9.254000000000024,9.617310344827521,0.9956724444444445
30,29020,1200,967.3333333333334,0.0,0.6,10.7979999999999,9.6566666666666,0.9954857777777778
31,29481,461,951.0,1.0,0.6129032258064516,3.1629999999999874,9.447193548387032,0.9954140666666667
32,29851,370,932.84375,1.0,0.625,1.9889999999999937,9.214124999999939,0.9953565111111111
33,30472,621,923.3939393939394,1.0,0.6363636363636364,3.861999999999971,9.051939393939334,0.9952599111111111
34,31672,1200,931.5294117647059,0.0,0.6176470588235294,10.117999999999936,9.083294117646998,0.9950732444444444
35,31776,104,907.8857142857142,1.0,0.6285714285714286,0.7330000000000005,8.844714285714227,0.9950570666666667
36,32625,849,906.25,1.0,0.6388888888888888,6.335999999999993,8.775027777777721,0.994925
37,33123,498,895.2162162162163,1.0,0.6486486486486487,3.4419999999999793,8.630891891891837,0.9948475333333333
38,33696,573,886.7368421052631,1.0,0.6578947368421053,4.490999999999983,8.521947368421,0.9947584
39,34896,1200,894.7692307692307,0.0,0.6410256410256411,8.109999999999932,8.511384615384562,0.9945717333333334
40,35465,569,886.625,1.0,0.65,3.5989999999999753,8.388574999999946,0.9944832222222222
41,36665,1200,894.2682926829268,0.0,0.6341463414634146,8.811999999999951,8.398902439024337,0.9942965555555555
42,36804,139,876.2857142857143,1.0,0.6428571428571429,1.0180000000000002,8.223166666666614,0.9942749333333334
43,38004,1200,883.8139534883721,0.0,0.627906976744186,6.83699999999993,8.190930232558086,0.9940882666666667
44,38219,215,868.6136363636364,1.0,0.6363636363636364,1.471999999999997,8.03822727272722,0.9940548222222222
45,38484,265,855.2,1.0,0.6444444444444445,1.3429999999999978,7.889444444444393,0.9940136
46,39199,715,852.1521739130435,1.0,0.6521739130434783,5.21399999999997,7.831282608695601,0.9939023777777778
47,39709,510,844.8723404255319,1.0,0.6595744680851063,2.51999999999998,7.71827659574463,0.9938230444444445
48,39814,105,829.4583333333334,1.0,0.6666666666666666,0.5830000000000004,7.569624999999951,0.9938067111111111
49,41014,1200,837.0204081632653,0.0,0.6530612244897959,8.43199999999996,7.58722448979587,0.9936200444444444
50,41397,383,827.94,1.0,0.66,2.473999999999987,7.484959999999952,0.9935604666666666
51,41667,270,817.0,1.0,0.6666666666666666,1.5069999999999961,7.367745098039169,0.9935184666666667
52,42018,351,808.0384615384615,1.0,0.6730769230769231,1.0130000000000006,7.245538461538415,0.9934638666666666
53,43218,1200,815.433962264151,0.0,0.660377358490566,8.586999999999945,7.270849056603727,0.9932772
54,43258,40,801.074074074074,1.0,0.6666666666666666,0.2830000000000002,7.1414444444443985,0.9932709777777777
55,44458,1200,808.3272727272728,0.0,0.6545454545454545,6.995999999999922,7.138799999999954,0.9930843111111111
56,45406,948,810.8214285714286,1.0,0.6607142857142857,5.607999999999934,7.11146428571424,0.9929368444444444
57,46606,1200,817.6491228070175,0.0,0.6491228070175439,7.946999999999948,7.126122807017498,0.9927501777777777
58,47806,1200,824.2413793103449,0.0,0.6379310344827587,6.142999999999935,7.109172413793056,0.9925635111111111
59,49006,1200,830.6101694915254,0.0,0.6271186440677966,8.715999999999934,7.13640677966097,0.9923768444444444
60,49235,229,820.5833333333334,1.0,0.6333333333333333,1.6109999999999944,7.04431666666662,0.9923412222222222
61,50435,1200,826.8032786885246,0.0,0.6229508196721312,8.49200000000001,7.068049180327823,0.9921545555555555
62,51635,1200,832.8225806451613,0.0,0.6129032258064516,7.036999999999917,7.067548387096728,0.9919678888888889
63,52835,1200,838.6507936507936,0.0,0.6031746031746031,8.003999999999937,7.082412698412653,0.9917812222222222
64,53671,836,838.609375,1.0,0.609375,4.555999999999964,7.042937499999954,0.9916511777777778
65,54871,1200,844.1692307692308,0.0,0.6,9.156000000000002,7.075446153846109,0.9914645111111111
66,56071,1200,849.560606060606,0.0,0.5909090909090909,6.351999999999918,7.064484848484803,0.9912778444444444
67,56338,267,840.8656716417911,1.0,0.5970149253731343,1.4389999999999985,6.980522388059656,0.9912363111111111
68,56979,641,837.9264705882352,1.0,0.6029411764705882,3.031999999999983,6.922455882352897,0.9911366
69,57032,53,826.5507246376811,1.0,0.6086956521739131,0.23300000000000015,6.825507246376768,0.9911283555555556
70,58232,1200,831.8857142857142,0.0,0.6,7.647999999999949,6.837257142857099,0.9909416888888889
71,59432,1200,837.0704225352113,0.0,0.5915492957746479,6.570999999999943,6.833507042253477,0.9907550222222222
72,60077,645,834.4027777777778,1.0,0.5972222222222222,2.91499999999998,6.779083333333289,0.9906546888888889
73,61277,1200,839.4109589041096,0.0,0.589041095890411,8.131999999999968,6.79761643835612,0.9904680222222222
74,62477,1200,844.2837837837837,0.0,0.581081081081081,7.557999999999939,6.807891891891847,0.9902813555555555
