Episode,Time_step,Episode_timesteps,Reward,Eps_greedy_val,Mean_Reward,Mean_Episode_timesteps
1,234,234,1.0,0.999363,0.34,991.6
2,866,632,1.0,0.9976425555555556,0.34,991.6
3,2066,1200,0.0,0.9943758888888888,0.34,991.6
4,3266,1200,0.0,0.9911092222222222,0.34,991.6
5,4466,1200,0.0,0.9878425555555556,0.34,991.6
6,5666,1200,0.0,0.9845758888888889,0.34,991.6
7,6866,1200,0.0,0.9813092222222222,0.34,991.6
8,7118,252,1.0,0.9806232222222222,0.34,991.6
9,8270,1152,1.0,0.9774872222222222,0.34,991.6
10,9470,1200,0.0,0.9742205555555555,0.34,991.6
11,10670,1200,0.0,0.9709538888888889,0.34,991.6
12,11141,471,1.0,0.9696717222222222,0.34,991.6
13,12341,1200,0.0,0.9664050555555556,0.34,991.6
14,12521,180,1.0,0.9659150555555556,0.34,991.6
15,13721,1200,0.0,0.9626483888888889,0.34,991.6
16,14921,1200,0.0,0.9593817222222222,0.34,991.6
17,16121,1200,0.0,0.9561150555555555,0.34,991.6
18,17321,1200,0.0,0.9528483888888889,0.34,991.6
19,18521,1200,0.0,0.9495817222222223,0.34,991.6
20,19721,1200,0.0,0.9463150555555555,0.34,991.6
21,20651,930,1.0,0.9437833888888889,0.34,991.6
22,21334,683,1.0,0.9419241111111111,0.34,991.6
23,22534,1200,0.0,0.9386574444444444,0.34,991.6
24,23734,1200,0.0,0.9353907777777778,0.34,991.6
25,23865,131,1.0,0.9350341666666666,0.34,991.6
26,25065,1200,0.0,0.9317675,0.34,991.6
27,26265,1200,0.0,0.9285008333333333,0.34,991.6
28,27009,744,1.0,0.9264755,0.34,991.6
29,28209,1200,0.0,0.9232088333333334,0.34,991.6
30,29409,1200,0.0,0.9199421666666667,0.34,991.6
31,30609,1200,0.0,0.9166755,0.34,991.6
32,31809,1200,0.0,0.9134088333333333,0.34,991.6
33,33009,1200,0.0,0.9101421666666667,0.34,991.6
34,34209,1200,0.0,0.9068755,0.34,991.6
35,34845,636,1.0,0.9051441666666666,0.34,991.6
36,36045,1200,0.0,0.9018775,0.34,991.6
37,37245,1200,0.0,0.8986108333333334,0.34,991.6
38,37271,26,1.0,0.8985400555555556,0.34,991.6
39,38471,1200,0.0,0.8952733888888889,0.34,991.6
40,39671,1200,0.0,0.8920067222222222,0.34,991.6
41,39849,178,1.0,0.8915221666666666,0.34,991.6
42,40404,555,1.0,0.8900113333333334,0.34,991.6
43,40500,96,1.0,0.88975,0.34,991.6
44,41700,1200,0.0,0.8864833333333333,0.34,991.6
45,41998,298,1.0,0.8856721111111111,0.34,991.6
46,42872,874,1.0,0.8832928888888889,0.34,991.6
47,43581,709,1.0,0.8813628333333333,0.34,991.6
48,44781,1200,0.0,0.8780961666666667,0.34,991.6
49,45981,1200,0.0,0.8748295,0.34,991.6
50,47181,1200,0.0,0.8715628333333334,0.34,991.6
51,48381,1200,0.0,0.8682961666666666,0.34,991.6
52,49581,1200,0.0,0.8650295,0.34,991.6
53,50755,1174,1.0,0.8618336111111111,0.34,991.6
54,51866,1111,1.0,0.8588092222222222,0.34,991.6
55,53066,1200,0.0,0.8555425555555556,0.34,991.6
56,54266,1200,0.0,0.8522758888888888,0.34,991.6
57,55466,1200,0.0,0.8490092222222222,0.34,991.6
58,56010,544,1.0,0.8475283333333333,0.34,991.6
59,57210,1200,0.0,0.8442616666666667,0.34,991.6
60,57534,324,1.0,0.8433796666666666,0.34,991.6
61,58734,1200,0.0,0.840113,0.34,991.6
62,59019,285,1.0,0.8393371666666667,0.34,991.6
63,60219,1200,0.0,0.8360704999999999,0.34,991.6
64,61419,1200,0.0,0.8328038333333333,0.34,991.6
65,62619,1200,0.0,0.8295371666666667,0.34,991.6
66,63819,1200,0.0,0.8262705,0.34,991.6
67,65019,1200,0.0,0.8230038333333334,0.34,991.6
